user_id,user_location,tweet_created_at,tweet_id,;;
926180750336065538,Cagliari Sardegna,2021-01-07 16:20:55,1347216654565056513,;;
2450265194,Friuli-Venezia Giulia Italia,2021-01-07 16:21:17,1347216747426951171,;;
1337345891695554561,Roma Lazio,2021-01-07 16:21:19,1347216755748442115,;;
1440863360,Roma Lazio,2021-01-07 16:21:22,1347216768947933187,;;
499265956,Roma Lazio,2021-01-07 16:21:34,1347216819929686016,;;
499917668,Catania,2021-01-07 16:21:41,1347216848190898176,;;
1066416791927296000,Roma Lazio,2021-01-07 16:21:51,1347216889685176320,;;
1147782695902224384,Firenze Toscana,2021-01-07 16:21:56,1347216911415861250,;;
1243133156519227393,Lodi Lombardia,2021-01-07 16:21:56,1347216911940145154,;;
1182576153271373824,Milano Lombardia,2021-01-07 16:22:01,1347216933964410882,;;
18938993,Cosenza Calabria,2021-01-07 16:22:09,1347216965899866112,;;
14420623,Roma Lazio,2021-01-07 16:22:13,1347216985013301249,;;
973190141228527617,Molise Italia,2021-01-07 16:22:33,1347217067662041090,;;
208723348,Firenze,2021-01-07 16:22:35,1347217075694133254,;;
422224808,Napoli,2021-01-07 16:23:00,1347217179314425857,;;
386574852,spignio saturnia,2021-01-07 16:23:06,1347217206682255361,;;
18938993,Cosenza Calabria,2021-01-07 16:23:09,1347217216194957313,;;
976742690,Lombardia Italia,2021-01-07 16:23:10,1347217221702070274,;;
1149408158,Roma - Perugia,2021-01-07 16:23:11,1347217225078419457,;;
346460853,Emilia Romagna Italia,2021-01-07 16:23:11,1347217228371025921,;;
1058824483069456384,Ortisei Trentino-Alto Adige,2021-01-07 16:23:15,1347217242698756100,;;
304598010,Prato Toscana,2021-01-07 16:23:17,1347217252274331653,;;
2827621811,Roma Italia,2021-01-07 16:23:26,1347217289427513347,;;
1014683070,Roma Lazio,2021-01-07 16:23:27,1347217293701480450,;;
301637859,Roma,2021-01-07 16:23:30,1347217306938695680,;;
422224808,Napoli,2021-01-07 16:23:32,1347217314924650500,;;
245048586,bovolone vr italia,2021-01-07 16:23:33,1347217319051845632,;;
1016293392811266048,Piombino Toscana,2021-01-07 16:23:41,1347217354074238976,;;
1440863360,Roma Lazio,2021-01-07 16:24:03,1347217444897746953,;;
1333804912396951552,Saint-Raphaël France,2021-01-07 16:24:04,1347217449343705091,;;
18938993,Cosenza Calabria,2021-01-07 16:24:08,1347217465277882369,;;
960562443549335554,Bergamo Lombardia,2021-01-07 16:24:08,1347217466511024128,;;
17922316,Rome Italy,2021-01-07 16:24:21,1347217521263448066,;;
960261589361463297,Palermo Sicilia,2021-01-07 16:24:33,1347217571947417601,;;
386574852,spignio saturnia,2021-01-07 16:24:34,1347217574044561410,;;
726795528,Roma Lazio,2021-01-07 16:24:39,1347217594214985728,;;
177177898,Allianz Stadium,2021-01-07 16:24:43,1347217613315858433,;;
723962052,ITALIA,2021-01-07 16:24:46,1347217624195805184,;;
720213203381264384,Via dell'albereto 16 Calenzano,2021-01-07 16:25:01,1347217687890567168,;;
887422981001162752,Riace MarinaCalabria,2021-01-07 16:25:04,1347217700901281796,;;
968552876032299009,Portoscuso-Buggerru.,2021-01-07 16:25:08,1347217715820437504,;;
715261691890700288,Casalecchio di Reno Emilia Ro,2021-01-07 16:25:10,1347217724817223680,;;
961437530,Milano Lombardia,2021-01-07 16:25:17,1347217756345741314,;;
919884031,Firenze,2021-01-07 16:25:18,1347217757314682882,;;
208723348,Firenze,2021-01-07 16:25:21,1347217773647294468,;;
2944929857,Senigallia Marche,2021-01-07 16:25:22,1347217774381297666,;;
882541046,siracusa,2021-01-07 16:25:25,1347217789371764738,;;
159935264,Roma,2021-01-07 16:25:31,1347217815284162562,;;
1056617243575009280,Oristano Sardegna,2021-01-07 16:25:38,1347217843847385088,;;
3315105982,Roma Lazio,2021-01-07 16:25:47,1347217882330099721,;;
968552876032299009,Portoscuso-Buggerru.,2021-01-07 16:25:57,1347217921446187011,;;
1058824483069456384,Ortisei Trentino-Alto Adige,2021-01-07 16:25:58,1347217926521122816,;;
1243133156519227393,Lodi Lombardia,2021-01-07 16:25:58,1347217927343403008,;;
506189709,Napoli & Ischia,2021-01-07 16:25:59,1347217930396774401,;;
20856527,Albano S. Alessandro (BG),2021-01-07 16:26:20,1347218019483840512,;;
1556117400,Castiglione delle Stiviere Lo,2021-01-07 16:26:23,1347218031458607104,;;
910498398612094976,Mantova Lombardia,2021-01-07 16:26:23,1347218033291513857,;;
477562158,Cosenza,2021-01-07 16:26:31,1347218066992734213,;;
1014683070,Roma Lazio,2021-01-07 16:26:33,1347218074945122309,;;
86693223,Cagliari - Sardegna,2021-01-07 16:26:37,1347218092364083206,;;
524501675,Bologna Emilia Romagna,2021-01-07 16:26:41,1347218108889620486,;;
428570381, Maremma Toscana no porno/DM,2021-01-07 16:26:45,1347218122223349763,;;
1143299528,Cremona Lombardia,2021-01-07 16:26:45,1347218124735721473,;;
18938993,Cosenza Calabria,2021-01-07 16:26:46,1347218129211023360,;;
